gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
ST8SIA1	NM_003034.3,XM_005253469.1,XM_005253470.2	2.00	6.00	5.00	13.00	5.00	6.00	13.00	36.00	0.00	4.00	3.00	20.00
ST8SIA2	NM_006011.3	2.00	1.00	1.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	2.00	1.00
ST8SIA3	NM_015879.2	0.00	1.00	44.00	0.00	0.00	0.00	65.00	1.00	0.00	0.00	29.00	0.00
ST8SIA4	NM_005668.5,NM_175052.2,XM_005272078.1	25.00	16.00	37.00	19.00	20.00	22.00	69.00	24.00	30.00	33.00	28.00	42.00
ST8SIA5	NM_013305.4,XM_005258250.1,XM_006722443.1,XM_006722444.1	111.00	318.00	771.00	192.00	152.00	426.00	1627.00	565.00	93.00	340.00	563.00	443.00
ST8SIA6	NM_001004470.1,rna42985	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
ST8SIA6-AS1	rna42987	0.00	0.00	3.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
STAB1	NM_015136.2,XM_005264973.1,XM_005264974.2,XM_005264975.1,XM_006713065.1,XM_006713066.1,rna16940	266.12	223.00	237.03	211.00	315.04	245.15	546.10	452.00	201.00	255.05	321.00	537.05
STAB2	NM_017564.9,XM_006719476.1,rna54693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
STAC	NM_003149.1,XM_006713308.1,XM_006713309.1	284.00	230.00	174.00	156.00	307.00	210.00	300.00	261.00	177.00	269.00	128.00	335.00
STAC2	NM_198993.3,XM_005257301.1	1.00	0.00	2.00	0.00	1.00	0.00	6.00	6.00	0.00	0.00	0.00	0.00
STAC3	NM_001286256.1,NM_001286257.1,NM_145064.2,rna53690	7.00	6.00	6.00	4.00	9.00	13.00	11.00	9.00	3.00	2.00	4.00	15.00
STAG1	NM_005862.2,XM_006713471.1	757.00	601.00	824.00	606.00	674.00	616.00	1273.00	941.00	533.00	748.00	598.00	1031.00
STAG2	NM_001042749.2,NM_001042750.1,NM_001042751.1,NM_001282418.1,NM_006603.4,XM_005262357.1,XM_005262358.1,XM_005262359.1,XM_005262360.1,XM_005262361.1,XM_006724727.1,XM_006724728.1	2303.00	1710.00	2212.00	1592.00	1951.00	1904.00	3401.00	2503.00	1627.00	2063.00	1513.00	2683.00
STAG3	NM_001282716.1,NM_001282717.1,NM_001282718.1,NM_012447.3,XM_005250116.1	9.30	2.02	10.26	17.54	16.17	3.04	19.16	32.59	8.02	1.02	11.43	25.68
STAG3L1	rna33392	29.96	13.50	38.99	14.24	48.47	39.64	74.41	50.56	22.99	29.88	24.45	35.47
STAG3L2	rna33377	181.61	104.25	113.79	111.74	142.42	118.38	214.19	205.35	105.00	125.15	84.18	188.09
STAG3L3	rna33239	97.61	89.25	56.16	82.02	86.75	98.99	108.35	144.70	78.01	91.96	62.37	153.38
STAG3L4	rna33190,rna33191	86.00	72.00	134.00	96.00	118.00	118.00	207.00	151.00	85.00	101.99	124.72	169.00
STAG3L5P	rna34053	34.06	7.01	13.27	19.06	31.80	15.01	23.50	36.34	18.66	7.33	14.65	48.00
STAG3L5P-PVRIG2P-PILRB	rna34051,rna34052	368.27	109.73	267.36	374.87	329.90	150.89	541.28	724.44	280.49	157.83	225.11	768.72
STAM	NM_003473.3,XM_005252603.1,rna42993	284.00	197.00	303.00	267.00	300.00	230.00	510.00	477.00	223.00	241.00	260.00	558.00
STAM2	NM_005843.4	467.00	408.00	510.00	455.00	525.00	487.00	894.00	782.00	404.00	501.00	414.00	910.00
STAMBP	NM_006463.4,NM_201647.2,NM_213622.2,XM_005264088.1,XM_005264091.1,XM_006711920.1,XM_006711921.1	628.00	403.00	437.00	467.00	590.00	496.00	922.00	875.00	462.00	433.00	413.00	949.00
STAMBPL1	NM_020799.3,XM_006717928.1,XM_006717929.1,XM_006717930.1	86.00	23.00	114.00	102.00	82.00	23.00	242.00	139.00	46.00	21.00	107.00	130.00
STAP1	NM_012108.2,XM_005265675.2,XM_006714175.1,XM_006714176.1,rna21360	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
STAP2	NM_001013841.1,NM_017720.2,XM_005259592.1,XM_006722790.1,XM_006722791.1,XM_006722792.1	794.00	499.00	307.00	472.00	803.00	637.00	761.00	836.00	656.00	611.00	357.00	1155.00
