gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
C9orf62	NM_173520.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C9orf64	NM_032307.3,XM_005252271.2	440.00	171.00	161.00	185.00	423.00	202.00	342.00	331.00	309.00	199.00	198.00	328.00
C9orf66	NM_152569.2	10.00	10.15	0.00	6.24	20.19	13.00	1.00	20.81	12.13	4.22	1.00	10.19
C9orf69	NM_001256526.1,NM_152833.2,rna42215	535.00	490.00	471.00	482.00	565.00	502.00	914.00	812.00	390.00	492.00	344.00	904.00
C9orf72	NM_001256054.1,NM_018325.3,NM_145005.5,XM_006716739.1	139.00	59.00	90.00	100.00	112.00	87.00	203.00	174.00	99.00	82.00	91.00	208.00
C9orf78	NM_016520.2	699.00	435.00	483.00	514.00	647.00	491.00	890.00	765.00	476.00	527.00	442.00	821.00
C9orf84	NM_001080551.2,NM_173521.4,XM_005251738.1,XM_006716974.1,XM_006716975.1,XM_006716976.1,XM_006716977.1,rna40966	1.00	0.00	7.00	2.00	1.00	0.00	3.00	3.00	0.00	0.00	0.00	1.00
C9orf85	NM_182505.3	39.00	27.00	19.00	24.00	33.00	29.00	42.00	33.00	28.00	30.00	18.00	37.00
C9orf89	NM_032310.3,XM_005252273.1,XM_005252274.1,rna40480	189.00	127.00	184.00	179.00	161.00	148.00	386.00	295.00	138.00	166.00	143.00	378.00
C9orf9	NM_018956.3,XM_005272164.1	38.00	26.00	24.00	17.00	51.00	29.00	44.00	42.00	32.00	29.00	23.00	33.00
C9orf91	NM_153045.3,XM_005251789.2,XM_005251790.2,XM_005251791.2,XM_006716997.1	212.00	170.00	261.00	244.00	235.00	187.00	514.00	473.00	146.00	152.00	250.00	442.00
C9orf92	NM_001271829.1,XM_006716713.1,rna39121	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C9orf96	NM_153710.4,rna42066	0.00	2.00	2.00	1.00	2.00	0.00	4.00	5.00	1.00	1.00	2.00	2.00
CA1	NM_001128829.2,NM_001128830.2,NM_001128831.2,NM_001164830.1,NM_001738.3	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00
CA10	NM_001082533.1,NM_001082534.1,NM_020178.4,XM_005257523.1	0.00	0.00	355.00	1.00	1.00	0.00	943.00	1.00	0.00	0.00	418.00	0.00
CA11	NM_001217.3,rna77026	1158.00	611.00	808.00	1185.00	961.00	637.00	1424.00	2086.00	847.00	731.00	713.00	2209.00
CA12	NM_001218.3,NM_206925.1	5.00	5.00	19.00	9.00	12.00	5.00	49.00	33.00	9.00	7.00	19.00	27.00
CA13	NM_198584.2	275.00	287.00	486.00	296.00	265.00	277.00	942.00	496.00	223.00	314.00	421.00	671.00
CA14	NM_012113.1,XM_005245059.1,XM_005245060.1,XM_006711259.1,XM_006711260.1,XM_006711261.1	5.00	5.00	3.00	5.00	3.00	2.00	4.00	3.00	1.00	3.00	4.00	8.00
CA2	NM_000067.2	303.00	200.00	80.00	30.00	281.00	215.00	97.00	43.00	222.00	250.00	57.00	32.00
CA3	NM_005181.3	6.00	3.00	9.00	5.00	8.00	4.00	17.00	4.00	5.00	12.00	8.00	9.00
CA4	NM_000717.3,XM_005257639.1	13.00	4.00	3.00	5.00	16.00	4.00	7.00	9.00	9.00	3.00	0.00	5.00
CA5A	NM_001739.1,XM_005256134.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CA5B	NM_007220.3,XM_005274442.2	1756.40	3324.87	518.91	239.14	857.01	2745.14	575.15	236.81	1069.29	4095.69	175.98	208.33
CA5BP1	rna84297	70.19	74.65	56.07	45.39	45.58	103.22	80.61	62.91	53.36	84.06	32.50	82.67
CA6	NM_001215.3,NM_001270500.1,NM_001270501.1,NM_001270502.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CA7	NM_001014435.1,NM_005182.2,XM_005256135.1,XM_005256136.1,XM_006721267.1,XM_006721268.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
CA8	NM_004056.4	226.00	9.00	4.00	18.00	192.00	15.00	10.00	25.00	154.00	6.00	6.00	31.00
CA9	NM_001216.2,XM_006716866.1,XM_006716867.1,XM_006716868.1,XM_006716869.1,XM_006716870.1,rna39538,rna39539	6.00	2.00	5.00	0.00	3.00	2.00	10.82	1.00	2.00	1.81	4.86	2.00
CAAP1	NM_001167575.1,NM_024828.3,XM_005251581.1	318.00	216.00	328.00	247.00	306.00	216.00	606.00	392.00	240.00	252.00	244.00	417.00
CAB39	NM_001130849.1,NM_001130850.1,NM_016289.3	2089.00	1201.00	1176.00	1338.00	1657.00	1231.00	2205.00	2110.00	1386.00	1233.00	967.00	2339.00
CAB39L	NM_001079670.2,NM_001287337.1,NM_001287338.1,NM_001287339.1,NM_030925.3	1113.00	1394.00	878.00	1446.00	665.00	1244.00	1186.00	1951.00	723.00	1670.00	547.00	2239.00
CABIN1	NM_001199281.1,NM_001201429.1,NM_012295.3,XM_005261415.2,XM_005261416.2,XM_005261417.2,XM_005261419.2,XM_005261420.2,XM_006724179.1,XM_006724180.1,XM_006724181.1,XM_006724182.1,XM_006724183.1,XM_006724184.1,rna82451	2009.00	1526.00	1457.00	1537.00	1585.00	1512.00	2754.00	2763.00	1356.00	1683.00	1144.00	2736.00
CABLES1	NM_001100619.2,NM_001256438.1,NM_138375.2,XM_006722575.1,XM_006722576.1,rna72263	565.00	398.00	182.00	189.00	578.00	459.00	262.00	239.00	391.00	454.00	126.00	209.00
CABLES2	NM_031215.2	142.00	87.00	78.00	83.00	123.00	97.00	169.00	163.00	81.00	93.00	84.00	192.00
CABP1	NM_001033677.1,NM_004276.4,NM_031205.3,XM_005253994.2	5.00	2.00	37.00	4.00	12.00	2.00	79.00	13.00	6.00	2.00	31.00	15.00
CABP2	NM_016366.2,XM_005274046.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CABP4	NM_145200.3,XM_005274114.1,XM_005274115.1,XM_006718640.1	0.00	1.00	5.00	1.00	2.00	3.00	6.00	3.00	2.00	1.00	4.00	3.00
CABP5	NM_019855.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CABP7	NM_182527.2,XM_006724161.1	3.07	1.02	150.38	0.00	1.03	0.00	263.88	3.06	0.00	1.02	100.52	3.06
CABS1	NM_033122.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CABYR	NM_012189.3,NM_138643.2,NM_138644.2,NM_153768.2,NM_153769.2,NM_153770.2,XM_005258245.1,XM_005258246.1,XM_005258247.1	12.00	24.00	16.00	7.00	9.00	29.00	39.00	1.00	4.00	32.00	13.00	4.00
CACFD1	NM_001135775.2,NM_001242369.1,NM_001242370.1,NM_017586.3	688.00	465.00	451.00	385.00	661.00	516.00	933.00	834.00	501.00	526.00	403.00	903.00
CACHD1	NM_020925.2,XM_006710793.1	249.00	243.00	281.00	136.00	190.00	289.00	443.00	258.00	160.00	286.00	225.00	357.00
CACNA1A	NM_000068.3,NM_001127221.1,NM_001127222.1,NM_001174080.1,NM_023035.2	1.00	0.00	9.00	2.00	1.00	0.00	12.00	3.00	1.00	0.00	4.00	2.00
CACNA1B	NM_000718.3,NM_001243812.1	6.00	53.00	107.00	29.00	9.00	55.00	221.00	76.00	12.00	62.00	95.00	73.00
CACNA1C	NM_000719.6,NM_001129827.1,NM_001129829.1,NM_001129830.1,NM_001129831.1,NM_001129832.1,NM_001129833.1,NM_001129834.1,NM_001129835.1,NM_001129836.1,NM_001129837.1,NM_001129838.1,NM_001129839.1,NM_001129840.1,NM_001129841.1,NM_001129842.1,NM_001129843.1,NM_001129844.1,NM_001129846.1,NM_001167623.1,NM_001167624.1,NM_001167625.1,NM_199460.2,XM_006719015.1,XM_006719016.1,XM_006719017.1	13.00	3.00	33.00	13.00	11.00	5.00	70.00	11.00	4.00	10.00	24.00	22.00
CACNA1C-AS1	rna51509	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNA1C-AS4	rna51505	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNA1C-IT3	rna51506	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNA1D	NM_000720.3,NM_001128839.2,NM_001128840.2,XM_005265448.1,XM_006713325.1	330.00	269.00	206.00	230.00	289.00	224.00	294.00	389.00	195.00	284.00	93.00	326.00
CACNA1E	NM_000721.3,NM_001205293.1,NM_001205294.1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
CACNA1F	NM_001256789.2,NM_001256790.2,NM_005183.3	0.00	3.00	1.00	0.00	6.00	4.00	0.00	0.00	0.00	5.00	0.00	1.00
CACNA1G	NM_001256324.1,NM_001256325.1,NM_001256326.1,NM_001256327.1,NM_001256328.1,NM_001256329.1,NM_001256330.1,NM_001256331.1,NM_001256332.1,NM_001256333.1,NM_001256334.1,NM_001256359.1,NM_001256360.1,NM_001256361.1,NM_018896.4,NM_198376.2,NM_198377.2,NM_198378.2,NM_198379.2,NM_198380.2,NM_198382.2,NM_198383.2,NM_198384.2,NM_198385.2,NM_198386.2,NM_198387.2,NM_198388.2,NM_198396.2,XM_006722160.1,XM_006722161.1,rna70109,rna70114,rna70118,rna70133,rna70135	0.00	1.00	1.00	2.00	1.00	4.00	0.00	3.00	0.00	0.00	0.00	0.00
CACNA1G-AS1	rna70103	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
CACNA1H	NM_001005407.1,NM_021098.2,XM_005255652.2,XM_006720963.1,XM_006720964.1,XM_006720965.1,XM_006720966.1,XM_006720967.1,XM_006720968.1,XM_006720969.1	1954.69	1019.00	1311.63	555.00	1468.72	1067.00	2518.33	887.00	1364.00	1022.00	951.37	1028.00
CACNA1I	NM_001003406.1,NM_021096.3,XM_006724348.1	1.00	0.00	4.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	5.00	1.00
CACNA1S	NM_000069.2,XM_005245478.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
CACNA2D1	NM_000722.2,XM_005250570.1,XM_005250572.1,XM_005250573.1,XM_005250574.1,XM_006716118.1,XM_006716119.1,XM_006716120.1,XM_006716121.1	19.00	14.00	52.00	12.00	9.00	12.00	94.00	19.00	6.00	10.00	51.00	26.00
CACNA2D2	NM_001005505.1,NM_001174051.1,NM_006030.2,XM_005265581.2	116.00	27.00	56.00	19.00	129.88	26.33	141.40	38.00	91.00	20.00	74.00	63.00
CACNA2D3	NM_018398.2,XM_005265318.1,XM_005265319.1,rna17051,rna17053,rna17055	3.00	2.00	156.00	21.00	4.00	3.00	246.00	32.00	1.00	5.00	161.00	52.00
CACNA2D3-AS1	rna17058	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNA2D4	NM_172364.4,rna51472	3.00	11.00	4.00	4.00	4.00	11.00	3.00	13.00	5.00	7.00	4.00	6.00
CACNB1	NM_000723.4,NM_199247.2,NM_199248.2,XM_005257645.1,XM_005257646.1,XM_005257647.1,XM_006722072.1	75.00	29.00	50.00	74.00	71.00	33.00	162.00	155.00	54.00	32.00	69.00	180.00
CACNB2	NM_000724.3,NM_001167945.1,NM_201570.2,NM_201571.3,NM_201572.3,NM_201590.2,NM_201593.2,NM_201596.2,NM_201597.2,XM_005252588.1,XM_005252591.1,XM_006717502.1	135.00	151.00	4.00	3.00	129.00	175.00	12.00	2.00	102.00	159.00	11.00	14.00
CACNB3	NM_000725.3,NM_001206915.1,NM_001206916.1,NM_001206917.1,XM_005269142.1,XM_006719590.1,XM_006719591.1,XM_006719592.1	373.00	100.00	223.00	354.00	308.00	108.00	470.00	574.00	287.00	130.00	226.00	765.00
CACNB4	NM_000726.3,NM_001005746.2,NM_001005747.2,NM_001145798.1,XM_005246838.1,XM_006712731.1,XM_006712732.1	14.00	2.00	31.00	7.00	6.00	1.00	99.00	22.00	7.00	2.00	43.00	14.00
CACNG1	NM_000727.3	4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00
CACNG2	NM_006078.3	0.00	0.00	10.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00	21.00	0.00
CACNG3	NM_006539.3,XM_005255037.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNG4	NM_014405.3	413.00	55.00	1.00	1.00	520.00	80.00	6.00	0.00	387.00	87.00	4.00	3.00
CACNG5	NM_145811.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACNG6	NM_031897.2,NM_145814.1,NM_145815.1,XM_006723316.1,rna77941	182.00	0.00	1.00	13.00	182.00	0.00	1.00	35.00	146.00	0.00	3.00	32.00
CACNG7	NM_031896.4,XM_005259124.1,XM_005259125.1	0.00	0.00	121.00	0.00	0.00	0.00	257.00	0.00	0.00	0.00	110.00	0.00
CACNG8	NM_031895.5	153.00	1.00	86.00	48.00	110.00	2.00	123.00	102.00	76.00	2.00	70.00	79.00
CACTIN	NM_001080543.1,NM_021231.1	453.93	270.66	333.76	330.63	433.27	329.88	663.94	640.70	299.83	328.78	286.55	769.40
CACTIN-AS1	rna73647	9.07	8.34	8.24	21.37	23.73	3.12	34.06	36.30	6.17	9.22	17.45	19.60
CACUL1	NM_153810.4,XM_005269559.2,rna45944	670.00	606.00	681.00	701.00	633.00	666.00	1235.00	1156.00	502.00	650.00	554.00	1322.00
CACYBP	NM_001007214.1,NM_014412.2,XM_005245092.1	1246.00	487.00	597.00	516.00	1175.00	570.00	1127.00	892.00	950.00	569.00	524.00	977.00
CAD	NM_004341.3,XM_005264555.2,XM_005264556.2,XM_005264557.2,XM_005264558.2,XM_006712101.1	261.00	256.00	421.00	253.00	271.00	275.00	866.00	461.00	191.00	272.00	364.00	612.00
CADM1	NM_001098517.1,NM_014333.3,XM_005271491.2,XM_005271492.2,XM_005271493.2,XM_005271494.2	1480.00	1700.00	397.00	598.00	1257.00	1887.00	774.00	996.00	1085.00	2121.00	322.00	1090.00
CADM2	NM_001167674.1,NM_001167675.1,NM_001256502.1,NM_001256503.1,NM_001256504.1,NM_001256505.1,NM_153184.3,XM_006713081.1,XM_006713082.1	92.00	0.00	1.00	24.00	116.00	0.00	0.00	52.00	68.00	0.00	1.00	40.00
CADM2-AS1	rna17475	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CADM2-AS2	rna17474	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CADM3	NM_001127173.1,NM_021189.3	2.00	0.00	127.00	2.00	1.00	1.00	255.00	0.00	0.00	0.00	121.00	0.00
CADM4	NM_145296.1,XM_005258620.1	1976.00	954.00	1622.00	1336.00	1817.00	1060.00	3198.00	2423.00	1394.00	1098.00	1339.00	2285.00
CADPS	NM_003716.3,NM_183393.2,NM_183394.2,XM_006713362.1,XM_006713363.1,XM_006713364.1,XM_006713365.1,XM_006713366.1,XM_006713367.1,XM_006713368.1,XM_006713369.1,XM_006713370.1,XM_006713371.1,XM_006713372.1,XM_006713373.1,XM_006713374.1,XM_006713375.1,XM_006713376.1,XM_006713377.1,XM_006713378.1	2.00	0.00	72.00	1.00	1.00	0.00	138.00	0.00	0.00	0.00	62.00	0.00
CADPS2	NM_001009571.3,NM_001167940.1,NM_017954.10,XM_005250695.2,XM_005250696.2,XM_005250697.2,XM_005250698.2,XM_005250699.2,XM_005250700.2,XM_005250701.2,XM_005250702.2,XM_005250703.2,XM_005250704.2,XM_005250705.2,XM_005250706.2,XM_005250707.2,XM_005250708.1	788.00	403.00	670.00	206.00	622.00	423.00	1309.00	332.00	565.00	518.00	487.00	449.00
CAGE1	NM_001170692.1,NM_001170693.1,NM_205864.2	1.00	0.00	1.00	1.00	2.00	1.00	1.00	2.00	0.00	1.00	1.00	2.00
CAHM	rna31544	3.00	1.00	1.00	0.00	2.00	0.00	4.00	3.00	2.00	0.00	1.00	4.00
CALB1	NM_004929.2	2.00	0.00	4.00	0.00	1.00	1.00	12.00	0.00	0.00	0.00	5.00	0.00
CALB2	NM_001740.4,NM_007088.3,rna66043	7.00	0.00	77.00	27.00	3.00	0.00	193.00	44.00	6.00	1.00	101.00	59.00
CALCA	NM_001033952.2,NM_001033953.2,NM_001741.2,XM_005253134.2	11.00	16.00	1.00	8.00	3.00	20.00	0.00	18.00	10.00	29.00	0.00	20.00
CALCB	NM_000728.3,XM_005253135.1	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
CALCOCO1	NM_001143682.1,NM_020898.2,XM_006719523.1,rna53306	1548.00	1145.00	966.00	1520.00	1412.00	1346.00	2056.00	2895.00	1184.00	1288.00	894.00	2897.00
CALCOCO2	NM_001261390.1,NM_001261391.1,NM_001261393.1,NM_001261395.1,NM_005831.4	1224.00	753.00	664.00	669.00	1191.00	1039.00	1356.00	1230.00	946.00	969.00	605.00	1402.00
CALCR	NM_001164737.1,NM_001164738.1,NM_001742.3	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
CALCRL	NM_001271751.1,NM_005795.5,XM_005246231.2,XM_005246232.2,XM_005246234.2	50.00	53.00	256.00	63.00	57.00	44.00	647.00	128.00	28.00	59.00	356.00	133.00
CALD1	NM_004342.6,NM_033138.3,NM_033139.3,NM_033140.3,NM_033157.3,XM_006716136.1,XM_006716137.1,XM_006716138.1,XM_006716139.1	1501.00	663.00	7163.00	2700.00	1170.00	614.00	12028.00	3370.00	1035.00	858.00	6554.00	6342.00
CALHM1	NM_001001412.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALHM2	NM_015916.4,XM_006717877.1,XM_006717878.1,XM_006717879.1,XM_006717880.1,XM_006717881.1,XM_006717882.1,XM_006717883.1,XM_006717884.1,rna45568,rna45569	34.00	21.00	34.00	27.00	34.00	23.00	78.00	46.00	22.00	26.00	37.00	52.00
CALHM3	NM_001129742.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALM1	NM_006888.4,XM_006720258.1	5992.00	3858.00	7666.00	5201.00	4814.00	4118.00	15141.00	8784.00	4268.00	4524.00	7211.00	9804.00
CALM2	NM_001743.4	5265.00	2784.00	6898.00	4229.00	4339.00	2949.00	11994.00	6902.00	3843.00	3560.00	6960.00	9324.00
CALM3	NM_005184.2	2534.00	1030.00	3283.00	1116.00	2286.00	1260.00	6340.00	2051.00	1790.00	1292.00	3215.00	2541.00
CALML3	NM_005185.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
CALML4	NM_001031733.2,NM_001286694.1,NM_001286695.1,NM_033429.2,rna61957	19.11	14.39	18.46	13.76	16.81	8.16	19.17	21.81	10.29	9.13	13.94	31.83
CALML5	NM_017422.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALML6	NM_138705.2,XM_005244729.1	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
CALN1	NM_001017440.2,NM_031468.3,XM_006716146.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
CALR	NM_004343.3	6817.00	4604.00	6691.00	5222.00	7237.00	6575.00	17176.00	12348.00	5605.00	5232.00	7382.00	11638.00
CALR3	NM_145046.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
CALU	NM_001130674.2,NM_001199671.1,NM_001199672.1,NM_001199673.1,NM_001219.4,rna34809	1912.00	1417.00	2933.00	1704.00	1857.00	1561.00	5537.99	2820.00	1291.00	1717.00	2637.00	3315.00
CALY	NM_015722.3,XM_005252685.2	3.00	1.00	4.00	21.00	3.00	1.00	6.00	48.00	2.00	1.00	3.00	51.00
CAMK1	NM_003656.4,XM_005265516.1,XM_005265517.1	215.00	72.00	184.00	150.00	184.00	79.00	334.90	282.00	142.00	73.00	167.00	323.00
CAMK1D	NM_020397.2,NM_153498.2,XM_006717481.1,XM_006717482.1,XM_006717483.1	23.41	15.62	76.14	64.85	27.40	6.69	111.62	90.58	16.29	9.10	57.58	143.43
CAMK1G	NM_020439.2	0.00	0.00	2.00	2.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	8.00
CAMK2A	NM_015981.3,NM_171825.2	1.00	1.00	0.00	0.00	0.00	0.00	4.00	1.00	2.00	1.00	5.00	0.00
CAMK2B	NM_001220.4,NM_172078.2,NM_172079.2,NM_172080.2,NM_172081.2,NM_172082.2,NM_172083.2,NM_172084.2,XM_005249859.2,XM_005249861.1,XM_005249862.2,XM_005249864.2,XM_006715776.1,XM_006715777.1,XM_006715778.1,XM_006715779.1,XM_006715780.1,XM_006715781.1,XM_006715782.1,XM_006715783.1,XM_006715784.1	80.00	19.00	124.00	60.00	95.00	37.00	313.00	137.00	58.00	17.00	162.00	191.00
CAMK2D	NM_001221.3,NM_172114.1,NM_172115.2,NM_172127.2,NM_172128.2,NM_172129.1,XM_005263251.2,XM_005263252.2,XM_005263253.2,XM_005263254.2,XM_005263255.2,XM_005263256.2,XM_005263257.2,XM_005263258.2,XM_005263260.2,XM_005263261.2,XM_006714329.1,XM_006714330.1	1143.00	602.00	310.00	350.00	1091.00	659.00	520.00	520.00	868.00	694.00	223.00	458.00
CAMK2G	NM_001204492.1,NM_001222.3,NM_172169.2,NM_172170.4,NM_172171.2,NM_172173.2,XM_005270195.1,XM_005270197.1,XM_005270198.1,XM_005270199.1,XM_005270200.1,XM_005270201.1,XM_005270202.1,XM_005270203.1,XM_005270205.1,XM_006717993.1,XM_006717994.1,XM_006717995.1,XM_006717996.1,XM_006717997.1,XM_006717998.1,XM_006717999.1,XM_006718000.1	505.00	387.00	450.00	416.00	457.00	422.00	836.00	748.00	349.00	430.00	376.00	838.00
CAMK2N1	NM_018584.5	267.00	336.00	818.00	1115.00	176.00	336.00	1501.00	1582.00	155.00	415.00	706.00	1641.00
CAMK2N2	NM_033259.2	9.00	2.00	65.00	6.00	25.00	1.00	111.00	25.00	17.00	0.00	57.00	30.00
CAMK4	NM_001744.4	2.00	0.00	11.00	4.00	0.00	1.00	18.00	5.00	0.00	0.00	11.00	2.00
CAMKK1	NM_032294.2,NM_172206.1,NM_172207.2,XM_005256817.1,XM_005256819.1,XM_005256820.1,XM_006721588.1,rna67061	75.00	52.00	88.00	65.00	67.00	63.00	184.00	112.00	53.00	67.00	110.00	146.00
CAMKK2	NM_001270485.1,NM_001270486.1,NM_006549.3,NM_153499.2,NM_153500.1,NM_172214.2,NM_172215.2,NM_172216.1,NM_172226.2,XM_005253822.2,XM_005253823.1,XM_005253824.2	789.00	404.00	428.00	383.00	708.00	472.00	892.00	775.00	530.00	469.00	405.00	913.00
CAMKMT	NM_024766.4,XM_005264567.2	71.00	53.00	55.00	56.00	57.00	36.00	93.00	78.00	48.00	70.00	36.00	85.00
CAMKV	NM_024046.3,XM_005265478.1	3.00	1.00	9.00	0.00	1.00	0.00	10.00	0.00	0.00	0.00	5.00	0.00
CAMLG	NM_001745.3	435.00	242.00	260.00	254.00	395.00	299.00	538.00	465.00	300.00	275.00	262.00	475.00
CAMP	NM_004345.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
CAMSAP1	NM_015447.3,XM_005263396.1,XM_005263397.1	667.00	342.00	580.00	503.00	658.00	318.00	1056.00	865.00	444.00	367.00	441.00	1189.00
CAMSAP2	NM_203459.1,XM_005245040.1,XM_005245041.1,XM_005245042.1	1630.00	766.00	1136.00	1058.00	1385.00	863.00	2068.00	1744.00	1067.00	987.00	1034.00	2055.00
CAMSAP3	NM_001080429.2,NM_020902.1,XM_005272491.1,XM_006722806.1	334.00	258.00	214.00	288.00	324.00	244.00	489.00	543.00	245.00	260.00	214.00	631.00
CAMTA1	NM_001195563.1,NM_001242701.1,NM_015215.3,XM_006710482.1,XM_006710483.1,XM_006710484.1,rna503	181.00	306.00	267.00	231.00	153.00	266.00	535.00	389.00	135.00	281.00	215.00	443.00
CAMTA2	NM_001171166.1,NM_001171167.1,NM_001171168.1,NM_015099.3,XM_006721478.1,XM_006721479.1,XM_006721480.1,XM_006721481.1,XM_006721482.1	1416.00	597.00	774.00	831.00	1241.00	777.00	1663.00	1520.00	1028.00	790.00	720.00	1885.00
CAND1	NM_018448.3	1505.00	1036.00	1796.00	1576.00	1321.00	1239.00	3300.00	2569.00	1161.00	1342.00	1583.00	3010.00
CAND1.11	rna47196	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
CAND2	NM_001162499.1,NM_012298.2	406.00	160.00	204.00	218.00	424.00	213.00	508.00	564.00	300.00	175.00	217.00	511.00
CANT1	NM_001159772.1,NM_001159773.1,NM_138793.3,XM_005257020.1,XM_005257021.1,XM_005257022.1,XM_006721682.1,XM_006721683.1,rna71434	1843.00	1093.00	955.00	1493.00	1538.88	1172.00	1937.00	2581.00	1248.00	1278.00	872.39	3097.00
CANX	NM_001024649.1,NM_001746.3	8331.00	5315.00	6238.00	5583.00	9666.00	7312.00	13636.00	11500.00	5945.00	6308.00	5991.00	11005.00
CAP1	NM_001105530.1,NM_006367.3,XM_005270367.1,XM_005270368.1,XM_006710294.1	2561.00	2685.00	3285.00	3590.00	2132.00	3079.00	6482.00	6046.00	1783.00	3437.00	3321.00	8431.00
CAP2	NM_006366.2	184.00	75.00	412.00	224.00	142.00	72.00	635.00	247.00	111.00	87.00	291.00	404.00
CAPG	NM_001256139.1,NM_001256140.1,NM_001747.3,XM_005264581.1,XM_005264582.1	6155.00	2229.00	1816.00	2204.00	6860.00	2881.00	3684.00	4655.00	5119.00	2771.00	1957.00	5521.00
CAPN1	NM_001198868.1,NM_001198869.1,NM_005186.3,XM_006718698.1,rna48988	1286.00	1607.00	1154.00	1279.00	1270.88	1505.00	2448.00	2114.00	919.00	1676.00	1129.00	2949.00
CAPN10	NM_023083.3,NM_023085.3	359.00	227.00	218.00	256.00	372.00	248.00	591.00	519.00	299.00	262.00	228.00	641.00
CAPN10-AS1	rna14783	16.00	5.00	13.00	19.00	5.00	7.00	31.00	23.00	5.00	10.00	17.00	25.00
CAPN11	NM_007058.3,XM_006714984.1,XM_006714985.1,XM_006714986.1,XM_006714987.1	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	2.00	0.00	0.00
CAPN12	NM_144691.3	9.28	14.37	12.39	27.87	12.36	20.64	26.81	42.02	13.35	19.45	10.31	31.78
CAPN13	NM_144575.2	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	1.00	0.00	0.00	6.00
CAPN14	NM_001145122.1,XM_006712022.1	4.00	2.00	0.00	0.00	3.00	1.00	3.00	0.00	3.00	0.00	1.00	0.00
CAPN15	NM_005632.2,XM_005255514.2,XM_005255516.2,XM_005255517.2,XM_005255518.2,XM_006720931.1,XM_006720932.1,XM_006720933.1,XM_006720934.1,XM_006720935.1	539.00	253.00	387.00	536.00	520.00	330.00	809.00	945.00	403.00	319.00	397.00	1171.00
